Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (gwei)
2025-09-04T17:30:08.314Z,Ethereum,ethereum,"4321,0800","23636,0000","1,088138977"
2025-09-04T17:30:09.526Z,BNB Chain,binancecoin,"845,9800","4627,4900","0,1"
2025-09-04T17:30:09.773Z,Polygon,matic-network,"0,2791","1,5300","26,000197783"
2025-09-04T17:45:09.586Z,Ethereum,ethereum,"4308,6300","23549,0000","0,650051724"
2025-09-04T17:45:11.049Z,BNB Chain,binancecoin,"845,0900","4618,8600","0,1"
2025-09-04T17:45:11.650Z,Polygon,matic-network,"0,2765","1,5100","25,000314471"
2025-09-04T18:00:09.722Z,Ethereum,ethereum,"4307,6400","23517,0000","0,853849321"
2025-09-04T18:00:10.890Z,BNB Chain,binancecoin,"844,8500","4612,3900","0,1"
2025-09-04T18:00:11.465Z,Polygon,matic-network,"0,2753","1,5000","25,000735158"
2025-09-04T18:15:10.246Z,Ethereum,ethereum,"4312,1800","23502,0000","1,977585945"
2025-09-04T18:15:11.664Z,BNB Chain,binancecoin,"845,6000","4602,2400","0,1"
2025-09-04T18:15:12.319Z,Polygon,matic-network,"0,2765","1,5100","25,000006513"
2025-09-04T18:30:11.473Z,Ethereum,ethereum,"4288,6700","23349,0000","1,01476195"
2025-09-04T18:30:12.517Z,BNB Chain,binancecoin,"844,0300","4595,2200","0,1"
2025-09-04T18:30:13.171Z,Polygon,matic-network,"0,2749","1,5000","25,000009281"
2025-09-04T18:45:09.289Z,Ethereum,ethereum,"4303,8200","23446,0000","0,804856441"
2025-09-04T18:45:10.917Z,BNB Chain,binancecoin,"844,1000","4598,4100","0,1"
2025-09-04T18:45:11.567Z,Polygon,matic-network,"0,2750","1,5000","27,500012479"
2025-09-04T19:00:08.507Z,Ethereum,ethereum,"4277,6200","23298,0000","0,62475707"
2025-09-04T19:00:09.855Z,BNB Chain,binancecoin,"842,3700","4587,8700","0,1"
2025-09-04T19:00:10.447Z,Polygon,matic-network,"0,2745","1,4900","28,000000105"
2025-09-04T19:15:09.929Z,Ethereum,ethereum,"4281,2500","23320,0000","0,623257638"
2025-09-04T19:15:11.913Z,BNB Chain,binancecoin,"843,2000","4592,8500","0,1"
2025-09-04T19:15:12.578Z,Polygon,matic-network,"0,2754","1,5000","26,395651879"
2025-09-04T19:30:11.915Z,Ethereum,ethereum,"4278,3700","23300,0000","0,475206371"
2025-09-04T19:30:13.697Z,BNB Chain,binancecoin,"843,7600","4595,2100","0,1"
2025-09-04T19:30:14.419Z,Polygon,matic-network,"0,2758","1,5000","25,635307356"
2025-09-04T19:45:08.926Z,Ethereum,ethereum,"4279,7200","23309,0000","0,443986649"
2025-09-04T19:45:10.160Z,BNB Chain,binancecoin,"844,0300","4597,0000","0,1"
2025-09-04T19:45:10.800Z,Polygon,matic-network,"0,2744","1,4900","25,000000323"
2025-09-04T20:00:08.765Z,Ethereum,ethereum,"4278,0900","23299,0000","0,3813201"
2025-09-04T20:00:10.031Z,BNB Chain,binancecoin,"843,5500","4594,1400","0,1"
2025-09-04T20:00:10.689Z,Polygon,matic-network,"0,2745","1,5000","25,000000144"
2025-09-04T20:15:07.583Z,Ethereum,ethereum,"4296,6800","23394,0000","0,368415954"
2025-09-04T20:15:08.966Z,BNB Chain,binancecoin,"844,9000","4600,1600","0,1"
2025-09-04T20:15:09.772Z,Polygon,matic-network,"0,2761","1,5000","25,000000144"
2025-09-04T20:30:08.810Z,Ethereum,ethereum,"4305,4500","23441,0000","0,339743103"
2025-09-04T20:30:09.914Z,BNB Chain,binancecoin,"845,6300","4604,0100","0,1"
2025-09-04T20:30:10.568Z,Polygon,matic-network,"0,2765","1,5100","26,000000093"
2025-09-04T20:45:09.282Z,Ethereum,ethereum,"4302,4000","23432,0000","0,308660387"
2025-09-04T20:45:10.587Z,BNB Chain,binancecoin,"845,6400","4605,6000","0,1"
2025-09-04T20:45:11.326Z,Polygon,matic-network,"0,2771","1,5100","26,000000089"
2025-09-04T21:00:10.859Z,Ethereum,ethereum,"4306,2400","23460,0000","0,336900174"
2025-09-04T21:00:12.163Z,BNB Chain,binancecoin,"845,3400","4605,3400","0,1"
2025-09-04T21:00:12.843Z,Polygon,matic-network,"0,2759","1,5000","26,000000089"
2025-09-04T21:15:08.926Z,Ethereum,ethereum,"4308,8700","23468,0000","0,334579131"
2025-09-04T21:15:09.944Z,BNB Chain,binancecoin,"846,3500","4609,6600","0,1"
2025-09-04T21:15:10.476Z,Polygon,matic-network,"0,2768","1,5100","26,000000096"
2025-09-04T21:30:09.656Z,Ethereum,ethereum,"4313,9200","23490,0000","0,303485127"
