Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar,Obrigatorio
Leite de Vaca,Pecuária,634480,152474,56529,186,518150,138675,52296,150,27726282,9789914,3733676,14268,17003172,7702240,3043192,6410,0
Bovino,Pecuária,1444699,277685,118311,1768,1044431,207400,87533,699,77565317,11248250,5433271,309287,16760849,2997610,1166662,15478,0
Bubalinos,Pecuária,5874,630,264,11,3380,219,67,1,187061,28530,17476,608,44789,3509,1354,X,0
Leite de Búfala,Pecuária,187061,28530,17476,608,44789,3509,1354,X,83414,3037,803,-,23564,585,X,-,0
Equinos,Pecuária,57565,7570,3639,120,38085,4297,1849,45,678447,132296,73660,3034,208017,28970,13308,250,0
Asininos,Pecuária,4291,26,5,0,3477,17,4,0,7301,119,9,-,2733,56,X,-,0
Muares,Pecuária,6417,191,28,1,4522,135,26,1,35843,1142,179,X,15685,751,X,X,0
Suínos,Pecuária,483729,69864,26457,84,390575,58901,23252,68,11501854,5843894,2255289,84,3583621,2534268,1347985,75,0
Caprinos,Pecuária,139218,2592,945,2,109916,1938,741,2,292895,7528,2988,X,204381,5017,2106,X,0
Leite de Cabra,Pecuária,3371,101,26,1,2645,74,22,1,32027,1127,477,X,20321,892,411,X,0
Ovinos,Pecuária,219635,17797,9995,265,167852,10580,5778,77,639567,132249,88004,4206,380698,41534,23160,428,0
Lã,Pecuária,24198,23889,23010,1151,13324,13113,12710,455,63354,63143,62784,5700,14673,14636,14540,784,0
Leite de Ovelha,Pecuária,109,11,5,0,82,6,3,0,2812,1161,133,-,540,186,X,-,0
Codornas,Pecuária,17941,8679,4492,26,13238,7037,3755,15,14377,184,78,-,2977,53,33,-,0
