nome,classificacao
Leite de Vaca,Pecuária
Bovino,Pecuária
Bubalinos,Pecuária
Leite de Búfala,Pecuária
Equinos,Pecuária
Asininos,Pecuária
Muares,Pecuária
Suínos,Pecuária
Caprinos,Pecuária
Leite de Cabra,Pecuária
Ovinos,Pecuária
Lã,Pecuária
Leite de Ovelha,Pecuária
Codornas,Pecuária
Ovos de Codorna,Pecuária
Coelhos,Pecuária
Mel,Pecuária
Cera de Abelha,Pecuária
"Geleia real, própolis e pólen",Pecuária
Sericicultura,Pecuária
Ranicultura,Pecuária
"Galinhas, galos, frangos, frangas e pintos",Pecuária
Ovos de Galinha,Pecuária
Flores e folhagens para corte,Agricultura
Gramas,Agricultura
Mudas de plantas ornamentais,Agricultura
Mudas e outras formas de propagação (produzidas para plantio),Agricultura
Plantas ornamentais em vaso,Agricultura
"Plantas, flores, folhagens medicinais",Agricultura
Sementes (produzidas para plantio),Agricultura
Abobrinha,Agricultura
Acelga,Agricultura
Agrião,Agricultura
Aipo,Agricultura
Alcachofra,Agricultura
Alcaparra,Agricultura
Alecrim,Agricultura
Alface,Agricultura
Alho-porró,Agricultura
Almeirão,Agricultura
Aspargo,Agricultura
Batata-baroa (mandioquinha),Agricultura
Batata-doce,Agricultura
Berinjela,Agricultura
Bertalha,Agricultura
Beterraba,Agricultura
Boldo,Agricultura
Brócolis,Agricultura
Bucha (esponja vegetal),Agricultura
Camomila,Agricultura
Cará,Agricultura
Caruru,Agricultura
Cebolinha,Agricultura
Cenoura,Agricultura
Chicória,Agricultura
Chuchu,Agricultura
Coentro,Agricultura
Cogumelos,Agricultura
Couve,Agricultura
Couve-flor,Agricultura
Erva-doce,Agricultura
Ervilha (vagem),Agricultura
Espinafre,Agricultura
Gengibre,Agricultura
Hortelã,Agricultura
Inhame,Agricultura
Jiló,Agricultura
Lentilha,Agricultura
Manjericão,Agricultura
Maxixe,Agricultura
Milho verde (espiga),Agricultura
Morango,Agricultura
Mostarda (semente),Agricultura
Mudas e outras formas de propagação (produzidas para plantio),Agricultura
Nabiça,Agricultura
Nabo,Agricultura
Orégano,Agricultura
Outros produtos,Agricultura
Pepino,Agricultura
Pimenta,Agricultura
Pimentão,Agricultura
Quiabo,Agricultura
Rabanete,Agricultura
Repolho,Agricultura
Rúcula,Agricultura
Salsa,Agricultura
