Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (em gwei)
2026-02-24T17:15:15.497Z,Ethereum,ethereum,1861.8400,9586.0600,0.3003600840
2026-02-24T17:15:18.676Z,BNB Chain,binancecoin,588.7100,3031.1000,0.0500000000
2026-02-24T17:15:19.373Z,Polygon,polygon-ecosystem-token,0.1105,0.5688,135.2298981000
2026-02-24T17:30:14.769Z,Ethereum,ethereum,1857.0800,9561.9300,0.1628157830
2026-02-24T17:30:17.302Z,BNB Chain,binancecoin,586.9400,3022.0900,0.0500000000
2026-02-24T17:30:17.772Z,Polygon,polygon-ecosystem-token,0.1102,0.5676,90.5153249700
2026-02-24T17:45:16.219Z,Ethereum,ethereum,1854.7600,9549.4400,0.1072123100
2026-02-24T17:45:19.173Z,BNB Chain,binancecoin,586.9600,3022.0500,0.0500000000
2026-02-24T17:45:19.843Z,Polygon,polygon-ecosystem-token,0.1106,0.5696,210.1417291000
2026-02-24T18:00:16.089Z,Ethereum,ethereum,1856.5700,9563.5900,0.0880467020
2026-02-24T18:00:18.854Z,BNB Chain,binancecoin,586.8700,3023.0800,0.0500000000
2026-02-24T18:00:19.695Z,Polygon,polygon-ecosystem-token,0.1100,0.5668,100.0968895000
2026-02-24T18:15:15.765Z,Ethereum,ethereum,1848.1600,9511.7600,0.0864019530
2026-02-24T18:15:18.640Z,BNB Chain,binancecoin,585.7900,3014.8500,0.0500000000
2026-02-24T18:15:19.308Z,Polygon,polygon-ecosystem-token,0.1096,0.5642,138.9947266000
2026-02-24T18:30:15.557Z,Ethereum,ethereum,1851.0500,9531.8000,0.0591222780
2026-02-24T18:30:18.357Z,BNB Chain,binancecoin,587.3800,3024.6400,0.0500000000
2026-02-24T18:30:19.377Z,Polygon,polygon-ecosystem-token,0.1103,0.5681,105.2248929000
2026-02-25T20:45:17.807Z,Ethereum,ethereum,2070.8400,10609.5100,0.1098348740
2026-02-25T20:45:19.561Z,BNB Chain,binancecoin,631.7400,3236.6100,0.0500000000
2026-02-25T20:45:20.296Z,Polygon,polygon-ecosystem-token,0.1176,0.6026,127.6973010000
2026-02-25T21:00:16.538Z,Ethereum,ethereum,2075.1200,10631.8700,0.1463621190
2026-02-25T21:00:17.903Z,BNB Chain,binancecoin,631.8800,3237.4200,0.0500000000
2026-02-25T21:00:18.311Z,Polygon,polygon-ecosystem-token,0.1178,0.6034,0.1669915360
2026-02-25T21:15:15.179Z,Ethereum,ethereum,2073.3800,10623.6100,0.0931462340
2026-02-25T21:15:17.146Z,BNB Chain,binancecoin,631.1900,3234.0900,0.0500000000
2026-02-25T21:15:17.565Z,Polygon,polygon-ecosystem-token,0.1174,0.6018,67.3373673000
2026-02-25T21:30:19.951Z,Ethereum,ethereum,2071.4900,10613.6800,0.0956245820
2026-02-25T21:30:22.116Z,BNB Chain,binancecoin,630.8800,3232.4400,0.0500000000
2026-02-25T21:30:22.654Z,Polygon,polygon-ecosystem-token,0.1172,0.6006,170.4400783000
2026-02-25T21:45:15.140Z,Ethereum,ethereum,2110.5700,10818.5700,0.4651462880
2026-02-25T21:45:17.790Z,BNB Chain,binancecoin,635.9100,3259.6300,0.0500000000
2026-02-25T21:45:18.509Z,Polygon,polygon-ecosystem-token,0.1176,0.6027,114.6412670000
2026-02-25T22:00:15.711Z,Ethereum,ethereum,2099.1600,10759.6600,0.2211127580
2026-02-25T22:00:18.524Z,BNB Chain,binancecoin,634.9000,3254.3200,0.0500000000
2026-02-25T22:00:19.242Z,Polygon,polygon-ecosystem-token,0.1172,0.6006,29.8436503000
2026-02-25T22:15:21.587Z,Ethereum,ethereum,2112.7000,10827.3900,0.1631658480
2026-02-25T22:15:23.632Z,BNB Chain,binancecoin,636.4100,3261.5300,0.0500000000
2026-02-25T22:15:24.029Z,Polygon,polygon-ecosystem-token,0.1173,0.6011,29.8436503000
2026-02-25T22:30:15.127Z,Ethereum,ethereum,2101.0900,10768.2900,0.0846271690
2026-02-25T22:30:17.077Z,BNB Chain,binancecoin,634.2000,3250.3600,0.0500000000
2026-02-25T22:30:17.514Z,Polygon,polygon-ecosystem-token,0.1172,0.6008,132.3073128000
2026-02-25T22:45:23.170Z,Ethereum,ethereum,2090.7400,10715.0300,0.1322453840
2026-02-25T22:45:25.176Z,BNB Chain,binancecoin,630.8500,3233.1300,0.0500000000
2026-02-25T22:45:25.582Z,Polygon,polygon-ecosystem-token,0.1157,0.5931,113.9529472000
2026-02-25T23:00:21.084Z,Ethereum,ethereum,2082.8100,10673.7500,0.1383986480
2026-02-25T23:00:23.133Z,BNB Chain,binancecoin,631.1000,3234.2100,0.0500000000
2026-02-25T23:00:23.575Z,Polygon,polygon-ecosystem-token,0.1154,0.5915,127.0082206000
2026-02-25T23:15:22.290Z,Ethereum,ethereum,2081.6300,10667.5200,0.0993789950
2026-02-25T23:15:25.094Z,BNB Chain,binancecoin,633.7000,3247.4400,0.0500000000
2026-02-25T23:15:25.771Z,Polygon,polygon-ecosystem-token,0.1158,0.5935,106.2849052000
2026-02-25T23:30:23.376Z,Ethereum,ethereum,2071.5200,10616.7700,0.0639781000
2026-02-25T23:30:25.559Z,BNB Chain,binancecoin,630.8700,3233.9100,0.0500000000
2026-02-25T23:30:26.236Z,Polygon,polygon-ecosystem-token,0.1147,0.5880,207.6830299000
2026-02-25T23:45:14.830Z,Ethereum,ethereum,2039.3600,10454.3600,0.1063446590
