classificacao,subclassificacao,nome,rastreabilidade_obrigatoria
Pecuária,Animais,Bovino,FALSE
Pecuária,Animais,Bubalinos,FALSE
Pecuária,Animais,Equinos,FALSE
Pecuária,Animais,Asininos,FALSE
Pecuária,Animais,Muares,FALSE
Pecuária,Animais,Suínos,FALSE
Pecuária,Animais,Caprinos,FALSE
Pecuária,Animais,Ovinos,FALSE
Pecuária,Animais,Codornas,FALSE
Pecuária,Animais,Coelhos,FALSE
Pecuária,Animais,Sericicultura,FALSE
Pecuária,Animais,Ranicultura,FALSE
Pecuária,Animais,"Galinhas, galos, frangos, frangas e pintos",FALSE
Pecuária,Produtos primários,Leite de Vaca,FALSE
Pecuária,Produtos primários,Leite de Búfala,FALSE
Pecuária,Produtos primários,Leite de Cabra,FALSE
Pecuária,Produtos primários,Leite de Ovelha,FALSE
Pecuária,Produtos primários,Lã,FALSE
Pecuária,Produtos primários,Ovos de Codorna,FALSE
Pecuária,Produtos primários,Ovos de Galinha,FALSE
Pecuária,Produtos primários,Mel,FALSE
Pecuária,Produtos primários,Cera de Abelha,FALSE
Pecuária,Produtos primários,"Geleia real, própolis e pólen",FALSE
